movie,actor,year,ranking,votes
Łowca jeleni,Robert De Niro,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Christopher Walken,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,John Cazale,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,John Savage,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Meryl Streep,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,George Dzundza,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Chuck Aspegren,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Shirley Stoler,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Rutanya Alda,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Pierre Segui,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Mady Kaplan,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Amy Wright,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Mary Ann Haenel,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Richard Kuss,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Joe Grifasi,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Christopher Colombi Jr.,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Victoria Karnafel,109.88888888888889,0.44999999999999996,19888.88888888889
Łowca jeleni,Jack Scardino,109.88888888888889,0.44999999999999996,19888.88888888889
Dzikie historie,Darío Grandinetti,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,María Marull,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,Mónica Villa,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,Diego Starosta,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,Marcelo Frasca,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,Lucila Mangone,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,María Laura Caccamo,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,Carlos Alberto Vavassori,111.88888888888889,0.44999999999999996,11833.333333333334
Dzikie historie,Pablo Machado,111.88888888888889,0.44999999999999996,11833.333333333334
